GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,Base64.InnerInputStream,31,281,12,36,9,52,11,17,1,3
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,Base64.InnerOutputStream,58,253,10,22,16,44,11,13,3,5
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,DetectionUtils,17,101,6,8,4,30,7,9,1,8
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownConfiguration,0,6,0,0,0,2,0,1,0,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook.ShutdownTimerTask,25,25,5,3,6,11,4,3,0,3
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,ThreadLocalRandom,4,44,1,1,1,9,1,5,0,5
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,SystemPropertyUtil.Platform,0,54,0,0,0,6,0,1,0,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,WaarpNettyUtil,77,281,10,22,36,70,10,21,1,14
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,SingletonUtils.VoidOutputStream,0,5,0,0,0,5,0,5,0,5
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,FileConvert,246,178,37,25,61,50,26,12,3,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,StringUtils,17,97,3,7,5,23,2,7,0,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,WaarpStringUtils,229,148,19,11,57,43,17,13,4,11
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,ThreadLocalRandom.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,Hexa,45,201,2,8,7,21,4,8,3,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,SingletonUtils,0,26,0,0,0,9,0,7,0,7
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,Version,7,37,0,0,3,11,1,4,1,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,ParametersChecker,12,370,4,60,3,66,4,39,0,11
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,WaarpShutdownHook,327,240,38,24,77,93,28,22,3,16
