GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.data.handler,FtpDataTypeCodec,85,72,9,5,15,23,9,7,3,6
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.control,FtpInitializer,0,113,0,0,0,23,0,3,0,3
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.control,FtpControlStringEncoder,8,4,0,0,4,2,2,1,2,1
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.control,BusinessHandler,43,262,10,2,9,55,6,9,0,9
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.control,FtpControlStringDecoder,8,4,0,0,4,2,2,1,2,1
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.control,NetworkHandler.new GenericFutureListener() {...},1,53,1,3,0,16,1,3,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.control,NetworkHandler,318,411,50,30,91,112,35,20,2,13
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.access,USER,14,28,1,1,5,8,1,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.access,REIN,0,15,0,0,0,5,0,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.access,PASS,21,32,2,2,7,9,2,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.access,ACCT,13,28,1,1,5,8,1,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.access,QUIT,0,16,0,0,0,5,0,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command,AbstractCommand,55,136,13,17,12,37,10,21,2,14
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command,FtpArgumentCode.TransferStructure,0,45,0,0,0,7,0,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command,FtpArgumentCode.TransferMode,0,56,0,0,0,8,0,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command,FtpArgumentCode,70,14,14,4,15,7,14,4,1,3
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command,FtpArgumentCode.TransferType,0,73,0,0,0,13,0,3,0,3
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command,FtpArgumentCode.TransferSubType,0,45,0,0,0,7,0,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command,FtpCommandCode,90,1270,35,90,21,137,32,72,2,11
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.parameter,TYPE,107,62,9,5,19,14,6,3,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.parameter,STRU,55,36,4,2,12,11,3,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.parameter,PASV,40,134,7,9,8,39,7,4,0,3
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.parameter,PORT,45,54,4,4,9,15,4,3,0,3
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.parameter,MODE,61,39,5,3,11,10,4,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc4217,PBSZ,24,28,3,3,3,8,3,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc4217,AUTH,55,52,6,4,10,15,5,3,0,3
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc4217,PROT,80,39,15,5,17,10,10,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc4217,CCC,19,14,3,1,5,4,2,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc2428,EPRT,84,0,4,0,20,0,5,0,3,0
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc2428,EPSV,149,0,10,0,37,0,8,0,3,0
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,APPE,51,0,6,0,14,0,5,0,2,0
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,RNFR,12,27,3,3,3,7,3,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,STOR,17,34,3,3,4,10,3,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,RMD,5,30,1,1,1,6,1,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,STOU,45,0,6,0,13,0,5,0,2,0
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,MKD,5,30,1,1,1,6,1,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,ALLO,31,49,4,4,5,10,4,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,RETR,25,37,3,3,6,12,3,3,0,3
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,REST,12,21,2,2,3,6,2,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,ABOR,40,0,2,0,14,0,3,0,2,0
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,RNTO,39,23,4,2,9,8,3,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,PWD,0,21,0,0,0,4,0,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,DELE,17,37,3,3,4,9,3,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,NLST,76,0,8,0,17,0,6,0,2,0
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.service,LIST,3,32,1,1,1,8,1,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.session,FtpSessionReference,160,151,26,8,40,38,19,8,3,7
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.session,FtpSession,76,481,24,24,23,127,29,36,7,34
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.session,FtpSessionReference.P2PAddress,68,109,23,13,12,26,19,5,1,5
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc3659,MDTM,5,21,1,1,1,6,1,2,0,2
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc3659,MLSD,35,0,2,0,9,0,3,0,2,0
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc3659,MLST,28,0,2,0,7,0,3,0,2,0
Waarp Ftp SimpleServer/WaarpFtp-Core,org.waarp.ftp.core.command.rfc3659,SIZE,17,32,2,2,2,9,2,2,0,2
