GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp ICAP Client,org.waarp.icap,IcapScanFile,68,1279,16,118,20,372,16,79,1,27
Waarp ICAP Client,org.waarp.icap,IcapError,0,201,0,0,0,22,0,4,0,4
Waarp ICAP Client,org.waarp.icap,IcapModel,0,95,0,0,0,9,0,3,0,3
Waarp ICAP Client,org.waarp.icap,IcapException,0,52,0,0,0,7,0,3,0,3
Waarp ICAP Client,org.waarp.icap,IcapClient,285,1699,12,130,59,401,12,112,0,51
